Тип,Парковка,Ремонт,Балкон,Окна,Санузел,Лифт,Этаж,Этажи,Высота потолков,Площадь,Колличество комнат
1,0,0,0,2,2,1,9,9,2.75,13.469976,1
1,0,0,0,0,0,1,3,10,2.7,5.9926531999999995,1
1,0,0,0,0,0,1,4,10,2.7,6.474195,1
1,0,0,0,0,0,1,6,10,2.7,6.911677500000001,1
1,0,0,0,2,2,1,9,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,7,9,2.75,13.719419999999998,1
1,0,0,0,0,0,1,2,10,2.7,20.479647999999997,2
1,0,0,0,0,0,1,5,10,2.7,21.909599999999998,2
1,0,0,0,0,0,1,7,10,2.7,23.21904,2
1,0,0,0,0,0,0,1,8,0,29.18473,2
1,0,0,0,0,0,0,8,8,0,34.30735,2
1,0,0,0,2,2,0,1,9,0,32.57408,2
1,0,0,0,0,2,0,9,9,0,37.17792,2
1,0,0,0,0,0,0,6,8,0,34.375280000000004,2
1,0,0,0,2,2,0,9,9,0,37.88190900000001,2
1,0,0,0,0,0,1,9,9,2.75,33.527616,2
1,0,0,0,0,0,1,4,9,2.75,30.965139999999998,2
1,0,0,0,0,0,1,8,9,2.75,38.565352,2
0,2,2,3,0,2,0,9,16,0,0.8165699999999999,2
0,0,3,1,0,1,2,9,9,0,7.224,2
0,0,3,3,0,2,0,3,3,0,32.4096,1
0,0,2,3,0,1,0,2,8,0,2.56608,2
0,0,1,1,0,2,0,2,5,0,3.2640000000000002,1
0,0,1,1,0,2,0,2,5,0,3.2640000000000002,1
1,0,0,0,0,0,1,4,10,2.7,5.9926531999999995,1
1,0,0,0,0,0,1,5,10,2.7,5.9926531999999995,1
1,0,0,0,0,0,1,9,10,2.7,6.643822500000001,1
1,0,0,0,0,0,1,6,10,2.7,6.642080999999999,1
1,0,0,0,0,0,1,10,10,2.7,6.643822500000001,1
1,0,0,0,0,0,1,9,10,2.7,6.642080999999999,1
1,0,0,0,0,0,1,10,10,2.7,6.642080999999999,1
1,0,0,0,0,0,1,8,10,2.7,6.643822500000001,1
1,0,0,0,0,0,1,1,10,2.7,6.320859999999999,1
1,0,0,0,0,0,1,7,10,2.7,7.149918,1
1,0,0,0,0,0,1,10,10,2.7,6.911677500000001,1
1,0,0,0,0,0,1,10,10,2.7,7.077560000000001,1
1,0,0,0,0,0,1,9,10,2.7,7.023509999999999,1
1,0,0,0,0,0,1,8,10,2.7,7.005569999999999,1
1,0,0,0,0,0,1,8,10,2.7,7.023509999999999,1
1,0,0,0,0,0,1,2,10,2.7,8.898072,1
1,0,0,0,0,0,1,4,10,2.7,9.064704,1
1,0,0,0,0,0,1,2,10,2.7,9.156692,1
1,0,0,0,2,2,1,8,9,2.75,13.469976,1
1,0,0,0,2,2,1,6,9,2.75,13.469976,1
1,0,0,0,2,2,1,9,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,8,9,2.75,13.469976,1
1,0,0,0,2,2,1,6,9,2.75,13.469976,1
1,0,0,0,2,2,1,9,9,2.75,13.928922,1
1,0,0,0,2,2,1,7,9,2.75,13.469976,1
1,0,0,0,2,2,1,9,9,2.75,13.928922,1
1,0,0,0,2,2,1,9,9,2.75,13.719419999999998,1
1,0,0,0,0,0,1,9,10,2.7,10.518291,1
1,0,0,0,2,2,1,5,9,2.75,17.1402,1
1,0,0,0,2,2,1,6,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,4,9,2.75,17.1402,1
1,0,0,0,2,2,1,7,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,8,9,2.75,13.928922,1
1,0,0,0,2,2,1,4,9,2.75,17.1402,1
1,0,0,0,2,2,1,5,9,2.75,17.1402,1
1,0,0,0,2,2,1,3,9,2.75,17.1402,1
1,0,0,0,2,2,1,8,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,8,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,6,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,6,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,2,9,2.75,17.1402,1
1,0,0,0,2,2,1,6,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,7,9,2.75,13.719419999999998,1
1,0,0,0,2,2,1,4,9,2.75,17.407829999999997,1
1,0,0,0,2,2,1,5,9,2.75,17.594304,1
1,0,0,0,2,2,1,5,9,2.75,17.407829999999997,1
1,0,0,0,2,2,1,3,9,2.75,17.594304,1
1,0,0,0,2,2,1,4,9,2.75,17.594304,1
1,0,0,0,2,2,1,5,9,2.75,17.594304,1
1,0,0,0,2,2,1,3,9,2.75,17.407829999999997,1
1,0,0,0,2,2,1,2,9,2.75,17.594304,1
1,0,0,0,2,2,1,5,9,2.75,17.407829999999997,1
1,0,0,0,2,2,1,4,9,2.75,17.407829999999997,1
1,0,0,0,2,2,1,4,9,2.75,17.594304,1
1,0,0,0,2,2,1,2,9,2.75,17.594304,1
1,0,0,0,2,2,1,3,9,2.75,17.594304,1
1,0,0,0,2,2,1,5,9,2.75,17.407829999999997,1
1,0,0,0,2,2,1,2,9,2.75,17.407829999999997,1
1,0,0,0,0,0,1,2,10,2.7,21.087,2
1,0,0,0,0,0,1,4,10,2.7,21.2176,2
1,0,0,0,0,0,1,3,10,2.7,21.312900000000006,2
1,0,0,0,0,0,1,5,10,2.7,21.811986,2
1,0,0,0,0,0,1,10,10,2.7,23.112664000000002,2
1,0,0,0,0,0,1,3,10,2.7,23.48082,2
1,0,0,0,0,0,1,9,10,2.7,23.112664000000002,2
1,0,0,0,0,0,1,6,10,2.7,23.21904,2
1,0,0,0,0,0,1,7,10,2.7,23.368548,2
1,0,0,0,0,0,1,1,10,2.7,30.892932,2
1,0,0,0,0,0,1,5,10,2.7,31.655421000000004,2
1,0,0,0,0,0,1,6,10,2.7,32.643702000000005,2
1,0,0,0,0,0,1,7,10,2.7,33.7736,2
1,0,0,0,0,0,1,8,10,2.7,33.7736,2
1,0,0,0,0,0,1,9,10,2.7,33.4776,2
1,0,0,0,0,0,1,10,10,2.7,33.330044,2
1,0,0,0,0,0,1,6,10,2.7,33.625451999999996,2
1,0,0,0,0,0,1,9,10,2.7,33.78883199999999,2
1,0,0,0,0,0,1,7,10,2.7,33.78883199999999,2
1,0,0,0,0,0,0,7,8,0,35.04984,2
1,0,0,0,0,2,0,9,9,0,35.315676,2
1,0,0,0,0,0,1,9,9,2.75,33.527616,2
1,0,0,0,0,2,0,4,9,0,32.396928,2
1,0,0,0,0,2,0,5,9,0,32.30656,2
1,0,0,0,0,2,0,9,9,0,35.703228,2
1,0,0,0,0,0,1,5,9,2.75,30.965139999999998,2
1,0,0,0,0,0,1,2,9,2.75,30.965139999999998,2
1,0,0,0,0,0,1,5,9,2.75,30.965139999999998,2
1,0,0,0,0,0,1,3,9,2.75,30.965139999999998,2
1,0,0,0,0,0,1,2,9,2.75,30.965139999999998,2
1,0,0,0,0,0,1,9,9,2.75,38.565352,2
1,0,0,0,0,0,1,4,9,2.75,30.965139999999998,2
1,0,0,0,0,2,0,5,9,0,32.442111999999995,2
1,0,0,0,0,0,1,3,9,2.75,30.965139999999998,2
1,0,0,0,0,0,1,8,9,2.75,33.527616,2
1,0,0,0,0,0,1,8,9,2.75,33.527616,2
1,0,0,0,0,0,1,2,9,2.75,35.754818,2
1,0,0,0,0,0,1,3,9,2.75,35.754818,2
1,0,0,0,0,0,1,3,9,2.75,35.754818,2
1,0,0,0,0,0,1,5,9,2.75,35.754818,2
1,0,0,0,0,0,1,6,9,2.75,33.527616,2
1,0,0,0,0,0,1,4,9,2.75,35.754818,2
1,0,0,0,0,0,1,7,9,2.75,33.527616,2
1,0,0,0,0,0,1,6,9,2.75,33.527616,2
1,0,0,0,0,0,1,4,9,2.75,35.754818,2
1,0,0,0,0,0,1,5,9,2.75,35.754818,2
1,0,0,0,0,0,1,8,9,2.75,38.565352,2
1,0,0,0,0,0,1,6,9,2.75,38.565352,2
1,0,0,0,0,0,1,5,9,2.75,38.946797999999994,2
1,0,0,0,0,0,1,4,9,2.75,38.946797999999994,2
1,0,0,0,0,0,1,4,9,2.75,38.946797999999994,2
1,0,0,0,0,0,1,5,9,2.75,38.946797999999994,2
1,0,0,0,0,0,1,3,9,2.75,38.946797999999994,2
1,0,0,0,0,0,1,3,9,2.75,38.946797999999994,2
1,0,0,0,0,0,1,2,9,2.75,38.946797999999994,2
1,0,0,0,0,0,1,9,9,2.75,32.805696000000005,2
1,0,0,0,0,0,1,7,9,2.75,32.805696000000005,2
1,0,0,0,0,0,1,6,9,2.75,32.805696000000005,2
1,0,0,0,0,0,1,8,9,2.75,32.805696000000005,2
1,0,0,0,0,0,1,6,9,2.75,32.805696000000005,2
1,0,0,0,0,0,1,7,9,2.75,32.805696000000005,2
1,0,0,0,2,2,1,2,9,2.75,97.95132000000001,2
1,0,0,0,2,2,1,6,9,2.75,104.42040000000001,2
1,0,0,0,2,2,1,7,9,2.75,104.42040000000001,2
1,0,0,0,2,2,1,3,9,2.75,97.95132000000001,2
1,0,0,0,2,2,1,5,9,2.75,97.95132000000001,2
1,0,0,0,2,2,1,7,9,2.75,104.42040000000001,2
1,0,0,0,2,2,1,4,9,2.75,97.95132000000001,2
1,0,0,0,2,2,1,8,9,2.75,104.42040000000001,2
1,0,0,0,2,2,1,6,9,2.75,104.42040000000001,2
1,0,0,0,2,2,1,4,9,2.75,97.95132000000001,2
1,0,0,0,2,2,1,8,9,2.75,104.42040000000001,2
1,0,0,0,2,2,1,5,9,2.75,97.95132000000001,2
1,0,0,0,2,2,1,3,9,2.75,97.95132000000001,2
0,0,1,1,2,1,2,1,9,0,0.26639999999999997,2
